Index,Chinese,Pingyin,English
1, 挨着, āi zhe, next to; close to
2, 挨, ái, Next to
3, 挨打, ái dǎ, take a beating; get a
4, 安检, ān jiǎn, security check
5, 罢工, bàgōng, Strike
6, 罢了, bà le, let it pass; that's all; (auxiliary
7, 白领, bái lǐng, white collar; white collar
8, 百分点, bǎi fēn diǎn, percentage point
9, 办公, bàn gōng, work; handle official
10, 办事处, bàn shì chù, office; agency
11, 办学, bàn xué, run a school
12, 半决赛, bàn jué sài, semifinal
13, 傍晚, bàngwǎn, Evening
14, 保健, bǎo jiàn, health protection; health
16, 报考, bào kǎo, register for examination;
17, 抱歉, bàoqiàn, feel sorry
18, 暴风雨, bào fēng yǔ, rainstorm; storm; tempest
19, 暴力, bàolì, violence
20, 暴露, bàolù, Expose
21, 暴雨, bào yǔ, torrential rain; rainstorm;
22, 爆, bào, explode; burst; quick -fry
23, 爆发, bàofā, burst
24, 爆炸, bàozhà, blast
25, 悲惨, bēicǎn, miserable
26, 背心, bèi xīn, vest; sleeveless garment;
27, 背着, bèi zhe, behind one's back
28, 被告, bèigào, Defendant
29, 奔跑, bēn pǎo, run
30, 本（代、副）, běn, this; originally
31, 本地, běn dì, this locality; local; native
33, 本身, běnshēn, itself
34, 本土, běn tǔ, mainland; one's native
35, 本质, běnzhì, essence
36, 逼, bī, compel; force; drive; exert;
37, 笔试, bǐ shì, written examination
38, 必将, bì jiāng, will certainly; surely will
39, 必修, bì xiū, obligatory; compulsory;
40, 闭, bì, close; shut; obstruct; stop up
41, 边缘, biānyuán, edge
42, 编制, biān zhì, authorized strength; work
43, 扁, biǎn, flat
44, 变更, biàn gēng, change; alter; modify
45, 变换, biàn huàn, transform; convert; vary;
46, 变形, biàn xíng, deform; be out of shape;
48, 便是, biàn shì, that's it
49, 遍地, biàn dì, everywhere; all around
50, 表面上, biǎo miàn shàng, superficial; ostensible;
51, 病房, bìng fáng, ward of a hospital; sickroom
52, 病情, bìng qíng, state of an illness; patient's
53, 拨打, bō dǎ, dial
54, 波动, bō dòng, undulate; fluctuate; surge;
55, 波浪, bōlàng, wave
56, 播, bō, broadcast; spread; seed;
57, 不便, bú biàn, inconvenient; unsuitable; be
58, 不见, bú jiàn, not see; not meet
59, 不料, búliào, Unexpectedly
60, 不再, bú zài, no longer; no more
61, 不至于, bú zhì yú, cannot go so far; be unlikely
63, 补课, bǔ kè, make up missed lessons
64, 补习, bǔ xí, take lessons after school or
65, 补助, bǔ zhù, subsidy; subsidize; allowance
66, 捕, bǔ, catch; seize; arrest
67, 不成, bù chéng, won't do; fail
68, 不禁, bùjīn, Can not help but
69, 不仅仅, bù jǐn jǐn, not just; not only; more than
70, 不通, bù tōng, be blocked up; be
71, 不怎么, bù zěn, me not particularly; not very
72, 不怎么样, bù zěn, me yàng not up to much; very
73, 不值, bù zhí, not worth
74, 布满, bù mǎn, be full of
75, 部队, bù duì, army; armed forces; troop;
76, 采纳, cǎinà, accept
77, 踩, cǎi, step on
79, 参展, cān zhǎn, take part in an exhibition;
80, 餐, cān, food; meal; eat
81, 残疾, cánjí, A disability
82, 残疾人, cán jí rén, handicapped; disabled
83, 残酷, cánkù, cruel
84, 惨, cǎn, miserable; wretched; tragic;
85, 仓库, cāngkù, Warehouse
86, 藏, cáng, hide; conceal; store; lay by
87, 操纵, cāozòng, control
88, 厕所, cèsuǒ, Toilet
89, 侧, cè, side; incline; lean
90, 测定, cè dìng, determine; determination;
91, 策划, cèhuà, plan; hatch; plot
92, 策略, cèlüè, tactic; policy
93, 层面, céng miàn, level
94, 差异, chā yì, difference; divergence;
96, 查看, chá kàn, look over; examine; check
97, 拆迁, chāi qiān, demolition; relocation
98, 产量, chǎn liàng, output; yield; volume of
99, 昌盛, chāngshèng, Prosperity
100, 长短, cháng duǎn, short and long; length;
101, 长假, cháng jià, long holiday; long leave
102, 长久, cháng jiǔ, for a long time; muchly
103, 长跑, cháng pǎo, long-distance race; long
104, 长远, cháng yuǎn, long-term; long -range;
105, 常规, cháng guī, conventional; common;
106, 常年, cháng nián, perennial; year in year out;
107, 厂商, chǎng shāng, manufacturer; firm; factory
108, 场地, chǎng dì, space; place; site
110, 场景, chǎng jǐng, scene
111, 畅通, chàngtōng, unimpeded; unblocked
112, 超, chāo, exceed; surpass; overtake;
113, 超出, chāo chū, overstep; go beyond; exceed
114, 炒, chǎo, fry
115, 炒股, chǎo gǔ, invest in stocks
116, 炒作, chǎo zuò, hype
117, 车号, chē hào, car number; wagon number
118, 车牌, chē pái, licence plate; plate number
119, 车展, chē zhǎn, auto show; car exhibition
120, 撤离, chè lí, withdraw; leave; evacuate
121, 撤销, chèxiāo, repeal; retract
122, 撑, chēng, prop; support; push with a
123, 成（量）, chéng, (measure word)
124, 成分, chéngfèn, component
125, 成品, chéng pǐn, end product; finish product
126, 承诺, chéngnuò, Promise
