Index,Chinese,Pingyin,English
1, 爱心, àixīn, love
2, 安排, ānpái, arrange
3, 安装, ānzhuāng, install
4, 按, àn, press; push; check; restrain
5, 按照, ànzhào, according to
6, 把（介）, bǎ, (particle marking the following
7, 把（量）, bǎ, (measure word)
8, 把握, bǎwò, grasp
9, 白（副）, bái, without results; in vain; waste
10, 白菜, bái cài, Chinese cabbage
11, 班级, bān jí, class
12, 搬, bān, turn; move
13, 搬家, bān jiā, move; move house
14, 板, bǎn, board; plank; shutter
15, 办理, bànlǐ, handle
16, 保, bǎo, defend; protect; keep; guarantee;
18, 保持, bǎochí, keep
19, 保存, bǎocún, Preservation
20, 保护, bǎohù, protect
21, 保留, bǎoliú, Retain
22, 保险, bǎoxiǎn, Insurance
23, 保证, bǎozhèng, ensure
24, 报（名）, bào, newspaper; periodical; journal;
25, 报到, bàodào," register,check in"
26, 报道, bàodào, report
27, 报告, bàogào, Presentation
28, 背, bèi, Back
29, 北部, běi bù, north
30, 背（名）, bèi, back of the body; back side of an
31, 背后, bèi hòu, behind; at the back; in the rear
32, 被, bèi, cover
33, 被子, bèizi, quilt
34, 本来, běnlái, originally
35, 本领, běnlǐng, ability
36, 本事, běnshi, Skill
38, 比例, bǐlì, Proportion
39, 比赛, bǐsài, Match
40, 必然, bìrán, Inevitable
41, 必要, bìyào, necessary
42, 变化, biànhuà, change
43, 变为, biàn wéi, become; turn into; change into
44, 标题, biāotí, title; heading
45, 标准, biāozhǔn, standard
46, 表达, biǎodá, Expression
47, 表格, biǎogé, form
48, 表面, biǎomiàn, surface
49, 表明, biǎomíng, Indicate
50, 表现, biǎoxiàn, performance
51, 表演, biǎoyǎn, perform
52, 并（副、连）, bìng, and; also; equally; simultaneously;
53, 并且, bìngqiě, also
54, 播出, bō chū, broadcast; on the air
55, 播放, bōfàng, play
56, 不必, bú bì, need not; not have to
57, 不断, búduàn, Constantly
59, 补, bǔ, repair; mend; patch; supply; make
60, 补充, bǔchōng, supplement
61, 不安, bù'ān, Uneasy
62, 不得不, bùdébù, Cannot but
63, 不光, bù guāng, not only
64, 不仅, bùjǐn, not only
65, 布, bù, cloth
66, 步, bù, step; stage; walk; foot
67, 部, bù, unit; ministry; department; part;
68, 部门, bùmén, department
69, 部长, bù zhǎng, minister; head of a department
70, 才能, cái néng, talent; ability; gift
71, 采取, cǎiqǔ," take, adpopt"
72, 采用, cǎi yòng, put to use; adopt; use; employ
73, 彩色, cǎi sè, multicolour; colour
74, 曾经, céngjīng, once
75, 产生, chǎnshēng, produce
76, 长城, Chángchéng, The Great Wall
77, 长处, cháng chù, strength; forte; strong point
79, 厂, chǎng, factory; mill; plant; works
80, 场合, chǎnghé, occasion
81, 场所, chǎngsuǒ, place
