Index,Chinese,Pingyin,English
1, 爱, ài, love
2, 爱好, ài hào, hobby
3, 八, bā, eight
4, 爸爸｜爸, bàba ｜ bà, dad
5, 吧, ba, (interjection particle)
6, 白（形）, bái, white
7, 白天, bái tiān, day
8, 百, bǎi, hundred
9, 班, bān, class
10, 半, bàn, half
11, 半年, bàn nián, half a year
12, 半天, bàn tiān, half day
13, 帮, bāng, help
14, 帮忙, bāng máng, help
15, 包, bāo, package
16, 包子, bāo zi, bun
17, 杯, bēi, cup
18, 杯子, bēi zi, cup
19, 北, běi, north
20, 北边, běi biān, North side
22, 本（量）, běn, (measure word for books or volumes)
23, 本子, běn zi, book
24, 比, bǐ, particle used for comparison
25, 别（副）, bié, Don't
26, 别的, bié de, other
27, 别人, bié·rén, other people
28, 病, bìng, disease
29, 病人, bìng rén, patient
30, 不大, bú dà, not big
31, 不对, bú duì, wrong
32, 不客气, bú kè qì, You're welcome
33, 不用, bú yòng, No need to
34, 不, bù, No
35, 菜, cài, dish
36, 茶, chá, tea
37, 差, chà, differ from; bad; short of
38, 常, cháng, often
39, 常常, cháng cháng, often
40, 唱, chàng, sing
41, 唱歌, chàng gē, sing
42, 车, chē, car
44, 车上, chē shàng, in the car
45, 车站, chē zhàn, station
46, 吃, chī, eat
47, 吃饭, chī fàn, have meal
48, 出, chū, out
49, 出来, chū lái, come
50, 出去, chū qù, go out
51, 穿, chuān, wear
52, 床, chuáng, bed
53, 次（量）, cì," (measure word for times, frequency)"
54, 从, cóng, from
55, 错, cuò, wrong
56, 打（动）, dǎ," hit, take"
57, 打车, dǎ chē, take a taxi
58, 打电话, dǎ diàn huà, make a phonecall
59, 打开, dǎ kāi, turn on
60, 打球, dǎ qiú, play ball
61, 大, dà," large, big"
62, 大学, dà xué, university
63, 大学生, dà xué shēng, university student
64, 到, dào, reach
66, 地, de, auxiliary word
67, 的, de, (aux.)
68, 等（动）, děng, wait
69, 地, dì, ground
70, 地点, dìdiǎn, location
71, 地方, dìfang, local
72, 地上, dì shàng, on the ground
73, 地图, dìtú, Map
74, 弟弟｜弟, dì di ｜ dì, younger brother
75, 第（第二）, dì （ dì èr ）, auxiliary word for ordinal numbers
76, 点, diǎn, spot
77, 电, diàn, electricity
78, 电话, diàn huà, phone
79, 电脑, diànnǎo, Computer
80, 电视, diànshì, television
81, 电视机, diàn shì jī, television
82, 电影, diànyǐng, Film
83, 电影院, diàn yǐng  yuàn, cinema; movie theater
84, 东, dōng, east
86, 东西, dōngxi, thing
87, 动, dòng, move
88, 动作, dòngzuò, action
89, 都, dōu, all
90, 读, dú, read
91, 读书, dú shū, reading; study
92, 对（形）, duì, right
93, 对不起, duìbuqǐ, I'm sorry.
94, 多（形、代）, duō, many; much; more
95, 多少, duōshao, how much
96, 饿, è, hungry
97, 儿子, érzi, Son
98, 二, èr, Two
99, 饭, fàn, rice; meal
100, 饭店, fàndiàn, restaurant
101, 房间, fángjiān, Room
102, 房子, fáng zi, house; building
103, 放, fàng, discharge
104, 放假, fàng jià, holiday; have a holiday
105, 放学, fàng xué, off school
106, 飞, fēi, fly
108, 非常, fēicháng, very
109, 分（名、量）, fēn, minute; point; part; (measure word)
110, 风, fēng, wind
111, 干, gān, dry
112, 干净, gānjìng, clean
113, 干, gàn, do
114, 干什么, gàn shén, me What to do
115, 高, gāo, high
116, 高兴, gāoxìng, happy
117, 告诉, gàosu, tell
