Index,Chinese,Pingyin,English
1, 阿姨, āyí, aunt
2, 啊, a, ah
3, 矮, ǎi, short
4, 矮小, ǎi xiǎo, short and small; low and small;
5, 爱国, ài guó, love one's country; be patriotic
6, 爱护, àihù, Care
7, 安, ān, quiet; safe; secure; install; fix; fit
8, 安置, ānzhì, put; arrange for
9, 按时, ànshí, on time
10, 暗, àn, dark
11, 暗示, ànshì, suggest secretly
12, 巴士, bā shì, bus
13, 百货, bǎi huò, department store; general
14, 摆, bǎi, pendulum
15, 摆动, bǎi dòng, swing; sway; oscillate;vibrate
16, 摆脱, bǎituō, cast off
17, 败, bài, defeat; beat; fail; lose
18, 办事, bàn shì, handle affairs; work
20, 包含, bāohán, Contain
21, 包括, bāokuò, Include
22, 薄, báo, thin
23, 宝, bǎo, treasure; precious; treasured
24, 宝宝, bǎo, bao baby; darling
25, 宝贝, bǎobèi, baby
26, 宝贵, bǎoguì, valuable
27, 宝石, bǎo shí, gemstone; gem; cameo; precious
28, 保密, bǎomì, secrecy
29, 保守, bǎoshǒu, Conservative
30, 抱, bào," Hold, hug"
31, 背景, bèijǐng, background
32, 倍, bèi, times
33, 被迫, bèi pò, be compelled; be forced; be
34, 本科, běnkē, Undergraduate
35, 笨, bèn, stupid
36, 比分, bǐ fēn, score
37, 毕业, bìyè, graduation
38, 毕业生, bì yè shēng, graduate
40, 避免, bìmiǎn, avoid
41, 编, biān, invent; make up; plait; edit; compile;
42, 辩论, biànlùn, Debate
43, 标志, biāozhì, sign
44, 表情, biǎoqíng, Expression
45, 表扬, biǎoyáng, Praise
46, 别（动）, bié, do not; leave; separate; pin
47, 冰, bīng, ice
48, 冰箱, bīngxiāng, Refrigerator
49, 冰雪, bīng xuě, ice and snow
50, 兵, bīng, arms; soldier; force; weapon; military
51, 并（动）, bìng, combine; merge; incorporate
52, 不要紧, búyàojǐn, Never mind
53, 不在乎, bú zài hū, not mind; not care
54, 不管, bùguǎn, no matter
55, 不然, bùrán, otherwise
56, 布置, bùzhì, Arrangement
57, 步行, bù xíng, go on foot; walk
58, 擦, cā, wipe
59, 才（名）, cái, ability; talent; gift; endowment
61, 财产, cáichǎn, property
62, 财富, cáifù, wealth
63, 采访, cǎifǎng, interview
64, 参考, cānkǎo, Reference resources
65, 参与, cānyù, participate in
66, 操场, cāochǎng, Playground
67, 操作, cāozuò, operation
68, 测, cè, survey; fathom; measure; conjecture;
69, 测量, cèliáng, measure
70, 测试, cè shì, test; examination
71, 曾, céng, once; already; at some time in the past
72, 茶叶, chá yè, tea; tea-leaves
73, 产品, chǎnpǐn, product
74, 长途, chángtú, Long -distance
75, 常识, chángshí, common sense
76, 唱片, chàng piàn, record; disc; phonogram
77, 抄, chāo, copy
78, 抄写, chāo xiě, copy; transcribe
79, 潮, cháo, moist; damp; humid; tide
80, 潮流, cháoliú, Trend
82, 彻底, chèdǐ, thorough
83, 沉, chén, sink; keep down; lower; deep;
84, 沉默, chénmò, silent
85, 沉重, chénzhòng, heavy
86, 称赞, chēngzàn, Praise
87, 成人, chéngrén, adult
88, 诚实, chéngshí, honest
89, 诚信, chéng xìn, honesty; integrity
90, 承担, chéngdān, bear
91, 承认, chéngrèn, Admit
92, 承受, chéngshòu, bear
93, 程序, chéngxù, program
94, 吃惊, chījīng, Be amazed
95, 迟到, chídào, Late
96, 尺, chǐ, rule; ruler
97, 尺寸, chǐ cùn, size; measurement; dimension
98, 尺子, chǐzi, Ruler
99, 冲, chōng, punching
100, 充电, chōng diàn, recharge; charge
101, 充电器, chōngdiànqì, Charger
103, 虫子, chóng zi, insect; worm; bug
104, 抽, chōu, pump; take out; shrink; pick out
105, 抽奖, chōu jiǎng, lottery; lottery draw
106, 抽烟, chōuyān, smoking
107, 出口, chūkǒu, Exit
108, 出色, chūsè, excellent; outstanding
109, 出售, chū shòu, offer for sale; sell
110, 出席, chūxí, Attend
111, 处于, chǔ yú, be in; be (in a certain condition)
112, 处, chǔ, dwell; live; be in a position of
113, 穿上, chuān shàng, put on
114, 传统, chuántǒng, tradition
115, 窗户, chuānghu, Window
116, 窗台, chuāng tái, windowsill; sill
117, 窗子, chuāng zi, window
118, 春季, chūn jì, spring; springtime
119, 纯, chún, pure; unmixed; simple; skilful;
120, 纯净水, chún jìng  shuǐ, pure water
121, 词汇, cíhuì, vocabulary
123, 此外, cǐwài, in addition
124, 次（形）, cì, second -rate; secondary
125, 刺, cì, thorn
126, 刺激, cìjī, stimulate
127, 从此, cóngcǐ, from then on
128, 粗, cū, wide; thick; coarse; rough; gruff;
129, 粗心, cūxīn, careless
130, 促进, cùjìn, Promote
131, 促使, cùshǐ, Urge
132, 促销, cù xiāo, promotion
133, 措施, cuòshī, Measures
134, 打, dǎ, strike; hit; break; fight; build; beat
135, 答案, dá'àn, Answer
136, 打败, dǎ bài, defeat; beat; be defeated
137, 打雷, dǎ léi, thunder
138, 打扫, dǎsǎo, Clean
139, 打折, dǎzhé, Discount
140, 打针, dǎzhēn, To make an injection
141, 大巴, dà bā, bus
142, 大多, dà duō, mostly; for the most part
144, 大哥, dà gē, big brother; elder brother
145, 大规模, dà guī mó, large -scale; extensive
146, 大会, dà huì, convention; general meeting; General
147, 大姐, dà jiě, elder sister
148, 大楼, dà lóu, building; large building
149, 大陆, dà lù, continent; mainland
150, 大妈, dà mā, aunt; father's elder brother's wife
151, 大型, dàxíng, large
152, 大爷, dà, ye uncle; father's elder brother
153, 大众, dà zhòng, public; the masses; people
154, 代替, dàitì, replace
155, 待遇, dàiyù, treatment
156, 袋, dài, bag; sack; pocket; pouch
157, 戴, dài, wear
158, 担保, dānbǎo, assure; hypothecate
159, 担任, dānrèn, To serve as
160, 担心, dānxīn, Worry
